bedrooms	acres	age	totbaths	sqftheat	squnheat
3	1.0848	9	3	3268	160
3	0.9531	62	1	2875	448
3	0.2553	16	5	1021	851
2	0.2618	18	3	3665	737
1	0.1799	68	5	4359	1168
3	0.8095	22	3	3023	805
1	1.7659	46	4	4197	1182
2	0.0657	43	2	2989	358
1	1.5293	50	1	3158	99
2	1.5688	31	3	3821	438
1	0.1886	44	5	2148	292
1	0.1711	6	4	2988	509
2	0.4247	38	2	4292	756
1	0.8031	13	4	1627	873
2	1.8658	60	5	3433	296
3	0.9176	41	1	2947	114
1	1.7832	34	2	3625	232
2	0.2913	36	1	4291	1068
2	0.2455	94	5	1112	1120
1	0.7193	82	4	2670	339
