logsales	lnsqheat	lnsqunht	bedrooms	acres	age	totbaths	numgarge	numfirep	daysmkt	closespr	closesum	closefal	salespr	basement	diningrm	familyrm	office	patio	deck	porch	stycontm	styranch	stytradt	stytrans	brick	cedar	fiber	hardwood	vinyl	elecheat	elemdist	middist	highdist	onestory	sqftheat	squnheat
13.15192218	7.945201	0	4	0.22	1	3.5	2	1	92	0	0	0	515000	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1.5517	4.7628	4.4182	0	2822	0
12.98310131	8.223359	0	5	10.09	9	3.5	2	1	301	0	1	0	435000	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1.0554	9.0733	4.3355	0	3727	0
12.82125828	8.039157	5.703782	4	5	7	3	2	2	183	1	0	0	370000	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1.5386	9.7411	4.7595	0	3100	300
11.8913619	7.584265	0	3	0.92	3	2	0	1	67	0	0	0	146000	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	2.4318	5.8905	6.5493	1	1967	0
12.44901882	7.551187	7.393263	3	1.73	27	3	3	1	18	0	0	0	255000	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5.7136	5.5929	7.2294	1	1903	1625
12.80765263	7.637716	0	3	7	7	2.5	2	1	46	0	0	0	365000	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	6.5393	10.7386	8.7506	0	2075	0
12.6791964	7.824046	5.010635	3	0.45	8	2.5	2	0	0	0	0	1	321000	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0.4001	0.4216	1.7698	0	2500	150
11.88448902	6.81564	0	2	0.1	82	1.5	0	2	11	0	0	1	145000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.8137	1.2968	0.7415	1	912	0
12.26082595	7.282074	0	2	0.1	2	2.5	1	0	780	1	0	0	211256	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0.8401	2.1437	1.865	0	1454	0
13.50079981	8.354674	7.452402	4	0.68	19	3.5	3	1	490	0	0	0	730000	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1.6027	1.5905	0.4167	0	4250	1724
11.68687877	7.252054	0	3	0.42	52	1	0	1	228	0	0	0	119000	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.3818	1.2092	2.0878	1	1411	0
13.50353579	8.050384	6.476972	4	0.5	1	3.5	2	1	362	0	0	0	732000	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0.0232	0.8675	4.7489	0	3135	650
13.34550693	8.141481	7.282761	5	0.99	76	3.5	0	2	468	1	0	0	625000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8635	1.9166	4.1086	0	3434	1455
12.88916949	7.974533	7.083388	4	2.71	1	4	2	1	485	0	1	0	396000	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	5.2563	3.848	2.7021	0	2906	1192
13.07736601	7.679251	0	3	0.17	72	3	0	1	354	0	0	0	478000	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1.3009	2.0317	4.0607	0	2163	0
12.32829028	7.985825	0	4	0.39	3	2.5	2	1	391	0	0	0	226000	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2.3443	6.705	2.31	0	2939	0
13.38472764	8.25062	7.122867	3	0.34	1	2.5	2	1	0	0	0	0	650000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2.7039	1.2632	0.9887	0	3830	1240
12.8346813	7.972466	0	4	0.42	12	3	2	1	17	1	0	0	375000	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1.1991	1.1572	0.9384	0	2900	0
